filename,n_instances
HUSC_3046.npy,1271
HUSC_5051.npy,1245
HUSC_3043.npy,1240
HUSC_5063.npy,1238
HCUV_4059.npy,1238
HUSC_3017.npy,1219
HUSC_3004.npy,1191
HUSC_3039.npy,1183
HCUV_5002.npy,1177
HUSC_5038.npy,1169
HCUV_4035.npy,1167
HUSC_2084.npy,1092
HUSC_4078.npy,1051
HCUV_1014.npy,1044
HUSC_3041.npy,1030
HUSC_3028.npy,1022
HCUV_1006.npy,994
HUSC_3026.npy,987
HUSC_5018.npy,981
HUSC_2072.npy,978
HUSC_3042.npy,974
HUSC_0081.npy,971
HCUV_5042.npy,948
HUSC_3020.npy,935
HUSC_5014.npy,927
HUSC_0013.npy,926
HCUV_3010.npy,912
HUSC_2069.npy,897
HUSC_0052.npy,892
HUSC_5024.npy,856
HUSC_4060.npy,854
HUSC_3024.npy,853
HUSC_1015.npy,843
HUSC_5062.npy,840
HUSC_5025.npy,838
HCUV_3063.npy,831
HCUV_0012.npy,815
HUSC_1013.npy,804
HUSC_3034.npy,798
HCUV_0009.npy,795
HUSC_3032.npy,790
HUSC_1016.npy,784
HCUV_4006.npy,771
HCUV_4016.npy,766
HUSC_0062.npy,758
HUSC_5002.npy,758
HUSC_0058.npy,751
HUSC_5060.npy,749
HUSC_5026.npy,743
HCUV_5009.npy,723
HCUV_0028.npy,719
HCUV_5019.npy,718
HUSC_0051.npy,713
HCUV_5023.npy,708
HUSC_4062.npy,706
HCUV_5025.npy,706
HUSC_0023.npy,704
HUSC_2029.npy,701
HUSC_0030.npy,697
HUSC_5052.npy,691
HUSC_0042.npy,690
HUSC_0072.npy,689
HUSC_0076.npy,686
HUSC_2054.npy,681
HUSC_2027.npy,675
HCUV_5013.npy,668
HUSC_2048.npy,664
HCUV_5034.npy,659
HUSC_5010.npy,650
HCUV_5038.npy,650
HUSC_5049.npy,647
HUSC_2003.npy,647
HCUV_5039.npy,642
HUSC_4056.npy,641
HUSC_3019.npy,641
HCUV_0001.npy,641
HUSC_2056.npy,640
HUSC_5004.npy,638
HCUV_4030.npy,632
HUSC_3006.npy,625
HCUV_4061.npy,621
HCUV_0014.npy,621
HUSC_0053.npy,614
HUSC_0078.npy,608
HCUV_1042.npy,600
HUSC_0034.npy,599
HUSC_4061.npy,593
HUSC_0061.npy,591
HCUV_5032.npy,589
HUSC_1019.npy,582
HCUV_5015.npy,576
HUSC_5021.npy,575
HCUV_5016.npy,571
HUSC_4049.npy,571
HCUV_4031.npy,567
HUSC_0041.npy,565
HCUV_5030.npy,557
HUSC_2021.npy,556
HUSC_0044.npy,548
HUSC_0048.npy,543
HCUV_5017.npy,539
HUSC_0028.npy,537
HUSC_3001.npy,535
HUSC_0040.npy,535
HCUV_2089.npy,531
HUSC_4053.npy,531
HUSC_5066.npy,527
HUSC_5027.npy,522
HUSC_4057.npy,513
HCUV_2088.npy,512
HCUV_5005.npy,509
HUSC_3002.npy,508
HCUV_3020.npy,508
HUSC_2061.npy,502
HUSC_0060.npy,500
HUSC_0005.npy,496
HCUV_2017.npy,491
HUSC_2044.npy,490
HCUV_2007.npy,488
HUSC_0045.npy,480
HUSC_2089.npy,477
HCUV_3027.npy,477
HUSC_0065.npy,475
HCUV_5007.npy,474
HUSC_4068.npy,472
HCUV_5021.npy,472
HCUV_2040.npy,472
HCUV_5020.npy,470
HUSC_0008.npy,468
HUSC_0002.npy,466
HUSC_0071.npy,460
HUSC_3033.npy,458
HUSC_0056.npy,457
HCUV_0025.npy,456
HCUV_2042.npy,455
HUSC_5045.npy,450
HCUV_4055.npy,446
HUSC_5041.npy,446
HUSC_1014.npy,444
HCUV_5027.npy,440
HCUV_1003.npy,439
HUSC_1005.npy,438
HUSC_4082.npy,437
HCUV_2083.npy,430
HCUV_4062.npy,428
HUSC_2073.npy,423
HCUV_1002.npy,423
HUSC_0035.npy,422
HUSC_5011.npy,421
HUSC_3009.npy,421
HUSC_3015.npy,415
HUSC_2091.npy,401
HUSC_2098.npy,400
HUSC_0033.npy,395
HCUV_2056.npy,393
HUSC_3011.npy,391
HUSC_0001.npy,390
HUSC_5046.npy,389
HCUV_1047.npy,389
HCUV_4012.npy,383
HUSC_5042.npy,382
HCUV_2050.npy,381
HCUV_1016.npy,380
HCUV_3045.npy,379
HUSC_2022.npy,379
HCUV_1010.npy,375
HUSC_1023.npy,372
HUSC_2034.npy,367
HUSC_5059.npy,365
HCUV_1023.npy,364
HUSC_1024.npy,362
HUSC_3010.npy,360
HUSC_2023.npy,359
HUSC_0063.npy,358
HUSC_3029.npy,358
HCUV_4049.npy,356
HCUV_4054.npy,352
HUSC_1026.npy,351
HUSC_2017.npy,349
HUSC_0014.npy,347
HUSC_3021.npy,344
HCUV_0015.npy,344
HCUV_2074.npy,340
HUSC_0026.npy,338
HCUV_5018.npy,337
HCUV_5033.npy,336
HCUV_0020.npy,334
HCUV_5028.npy,333
HCUV_5044.npy,332
HUSC_2052.npy,330
HCUV_3080.npy,328
HUSC_5020.npy,324
HCUV_0002.npy,323
HUSC_0020.npy,323
HUSC_0032.npy,322
HCUV_0008.npy,321
HUSC_4059.npy,321
HUSC_2079.npy,317
HUSC_2012.npy,317
HCUV_4048.npy,314
HUSC_5065.npy,313
HUSC_2035.npy,309
HCUV_4005.npy,306
HUSC_2067.npy,306
HCUV_2067.npy,300
HUSC_5008.npy,299
HCUV_2041.npy,297
HUSC_4005.npy,297
HCUV_2011.npy,297
HUSC_5064.npy,295
HUSC_5001.npy,292
HUSC_2039.npy,292
HUSC_0047.npy,291
HCUV_5010.npy,289
HCUV_2086.npy,288
HUSC_4058.npy,288
HUSC_0067.npy,283
HUSC_2031.npy,283
HUSC_3016.npy,283
HUSC_5006.npy,282
HUSC_4018.npy,280
HUSC_5050.npy,279
HCUV_2025.npy,279
HUSC_5048.npy,279
HUSC_2002.npy,278
HUSC_2024.npy,278
HUSC_2016.npy,276
HUSC_0019.npy,276
HCUV_2021.npy,274
HCUV_0026.npy,269
HUSC_0009.npy,267
HUSC_0074.npy,267
HCUV_2004.npy,266
HCUV_5024.npy,264
HUSC_0029.npy,264
HCUV_1048.npy,262
HUSC_0055.npy,261
HUSC_4054.npy,255
HUSC_0075.npy,255
HUSC_2046.npy,254
HCUV_3074.npy,253
HCUV_2077.npy,252
HUSC_2085.npy,251
HCUV_2018.npy,248
HCUV_2071.npy,247
HUSC_2010.npy,246
HUSC_3036.npy,241
HCUV_2043.npy,240
HUSC_2037.npy,240
HCUV_0010.npy,239
HUSC_2032.npy,236
HCUV_0004.npy,231
HUSC_5022.npy,231
HUSC_0006.npy,229
HCUV_4039.npy,229
HUSC_5028.npy,228
HUSC_4022.npy,227
HUSC_2020.npy,227
HCUV_2087.npy,223
HCUV_1015.npy,223
HCUV_2078.npy,220
HUSC_0010.npy,219
HCUV_2037.npy,219
HUSC_5019.npy,216
HCUV_3060.npy,215
HCUV_4008.npy,214
HUSC_2065.npy,213
HUSC_3014.npy,213
HUSC_5023.npy,212
HUSC_3031.npy,212
HUSC_0046.npy,211
HUSC_4083.npy,210
HCUV_0007.npy,209
HCUV_1025.npy,208
HUSC_1006.npy,207
HUSC_0077.npy,207
HCUV_5037.npy,206
HUSC_0037.npy,205
HCUV_1004.npy,205
HCUV_2049.npy,203
HUSC_2033.npy,203
HUSC_2066.npy,203
HUSC_0068.npy,202
HCUV_2058.npy,202
HCUV_4004.npy,201
HUSC_2043.npy,198
HCUV_1007.npy,196
HUSC_0069.npy,195
HCUV_0038.npy,194
HUSC_2087.npy,193
HCUV_1018.npy,192
HUSC_2088.npy,190
HCUV_2003.npy,189
HUSC_5044.npy,189
HUSC_2096.npy,184
HUSC_4011.npy,183
HCUV_4002.npy,183
HUSC_2099.npy,180
HUSC_2015.npy,180
HUSC_0004.npy,179
HUSC_2074.npy,177
HCUV_3037.npy,177
HUSC_4010.npy,176
HUSC_2040.npy,175
HUSC_4085.npy,172
HUSC_0043.npy,171
HCUV_2014.npy,170
HCUV_2029.npy,169
HCUV_0042.npy,169
HUSC_1027.npy,167
HCUV_2079.npy,165
HCUV_5026.npy,164
HUSC_4051.npy,161
HCUV_1005.npy,161
HUSC_2100.npy,159
HUSC_2081.npy,158
HCUV_0033.npy,158
HCUV_3078.npy,157
HCUV_5012.npy,156
HCUV_4046.npy,155
HUSC_1002.npy,154
HUSC_2050.npy,153
HUSC_3012.npy,152
HUSC_0066.npy,152
HCUV_0037.npy,151
HUSC_2080.npy,151
HUSC_2060.npy,149
HCUV_5008.npy,148
HCUV_3050.npy,146
HUSC_2001.npy,146
HCUV_4029.npy,146
HUSC_5043.npy,146
HUSC_2007.npy,146
HUSC_2049.npy,144
HCUV_3067.npy,144
HCUV_2059.npy,143
HUSC_2014.npy,142
HCUV_5036.npy,142
HUSC_3022.npy,142
HUSC_2013.npy,142
HCUV_2032.npy,141
HCUV_2046.npy,141
HCUV_2057.npy,141
HUSC_4019.npy,140
HUSC_4069.npy,138
HUSC_1017.npy,138
HUSC_2008.npy,137
HCUV_0039.npy,136
HUSC_3035.npy,136
HCUV_2048.npy,135
HUSC_2070.npy,135
HCUV_2001.npy,135
HUSC_2075.npy,135
HUSC_0017.npy,134
HCUV_2022.npy,134
HUSC_2041.npy,133
HCUV_2064.npy,133
HUSC_2053.npy,129
HUSC_2076.npy,129
HUSC_3005.npy,129
HUSC_0016.npy,128
HCUV_2026.npy,128
HUSC_0012.npy,124
HUSC_4025.npy,121
HUSC_2093.npy,121
HUSC_2051.npy,121
HUSC_2019.npy,120
HCUV_3056.npy,120
HCUV_4021.npy,116
HUSC_0021.npy,116
HUSC_4079.npy,115
HCUV_2063.npy,115
HCUV_2080.npy,115
HCUV_3022.npy,114
HCUV_4044.npy,112
HUSC_4014.npy,111
HUSC_4013.npy,111
HUSC_5007.npy,111
HUSC_4012.npy,110
HUSC_2006.npy,107
HCUV_2047.npy,106
HUSC_5016.npy,105
HUSC_2094.npy,102
HCUV_4063.npy,102
HUSC_0080.npy,101
HCUV_2039.npy,101
HCUV_2061.npy,101
HUSC_2036.npy,101
HCUV_5035.npy,99
HCUV_4017.npy,99
HCUV_0019.npy,98
HCUV_4060.npy,97
HUSC_2086.npy,93
HCUV_2045.npy,93
HCUV_2033.npy,93
HCUV_0013.npy,92
HUSC_2095.npy,92
HCUV_2034.npy,92
HUSC_2045.npy,91
HUSC_0064.npy,91
HCUV_4020.npy,91
HCUV_2012.npy,91
HCUV_0005.npy,90
HCUV_2024.npy,89
HCUV_4052.npy,88
HUSC_4073.npy,88
HCUV_2052.npy,88
HUSC_4017.npy,88
HUSC_2078.npy,87
HCUV_2051.npy,87
HUSC_2025.npy,86
HCUV_1013.npy,85
HCUV_2023.npy,84
HUSC_2090.npy,84
HUSC_3030.npy,83
HUSC_2042.npy,82
HUSC_2068.npy,82
HCUV_1012.npy,82
HUSC_0031.npy,80
HCUV_0006.npy,80
HUSC_2077.npy,79
HCUV_4024.npy,79
HUSC_0073.npy,78
HCUV_0017.npy,77
HCUV_0036.npy,77
HCUV_2016.npy,75
HCUV_0031.npy,74
HCUV_2035.npy,74
HUSC_2071.npy,72
HCUV_2030.npy,71
HCUV_2065.npy,70
HCUV_4057.npy,70
HCUV_1019.npy,69
HUSC_4006.npy,69
HUSC_2026.npy,69
HUSC_5053.npy,69
HUSC_4072.npy,65
HUSC_5047.npy,65
HUSC_2047.npy,64
HUSC_2092.npy,64
HCUV_2002.npy,63
HCUV_4051.npy,61
HUSC_2064.npy,61
HUSC_2063.npy,61
HCUV_4047.npy,59
HUSC_1022.npy,58
HCUV_1011.npy,58
HCUV_2081.npy,58
HUSC_0024.npy,57
HUSC_2062.npy,57
HCUV_4026.npy,56
HUSC_5009.npy,56
HCUV_4053.npy,56
HCUV_2019.npy,56
HUSC_4063.npy,55
HUSC_0059.npy,55
HUSC_2009.npy,54
HUSC_2011.npy,54
HCUV_0040.npy,54
HCUV_5022.npy,53
HCUV_5014.npy,52
HUSC_5029.npy,52
HUSC_4036.npy,51
HUSC_2097.npy,51
HCUV_2090.npy,51
HCUV_0041.npy,51
HUSC_4029.npy,50
HCUV_2036.npy,50
HUSC_2057.npy,49
HUSC_4048.npy,49
HUSC_2083.npy,49
HUSC_1004.npy,48
HCUV_0035.npy,47
HCUV_2068.npy,47
HUSC_4009.npy,46
HUSC_4066.npy,46
HCUV_2082.npy,44
HCUV_2066.npy,44
HCUV_2091.npy,44
HUSC_2058.npy,43
HUSC_4016.npy,42
HUSC_4015.npy,42
HCUV_4015.npy,42
HUSC_4055.npy,41
HCUV_0011.npy,39
HUSC_2055.npy,39
HUSC_3003.npy,38
HUSC_4020.npy,38
HUSC_4046.npy,37
HCUV_2008.npy,36
HUSC_5055.npy,35
HUSC_4026.npy,35
HCUV_4056.npy,31
HUSC_2028.npy,31
HCUV_4033.npy,31
HCUV_4010.npy,30
HUSC_4065.npy,29
HUSC_4043.npy,29
HCUV_4037.npy,29
HUSC_4042.npy,29
HUSC_2082.npy,28
HCUV_2044.npy,28
HUSC_2059.npy,27
HUSC_4004.npy,25
HUSC_4001.npy,24
HUSC_4037.npy,24
HUSC_4052.npy,23
HCUV_4023.npy,22
HUSC_0038.npy,21
HCUV_2006.npy,21
HUSC_3023.npy,18
HCUV_4014.npy,17
HCUV_4042.npy,16
HUSC_4003.npy,15
HUSC_4047.npy,15
HCUV_1036.npy,14
HCUV_2005.npy,14
HUSC_4002.npy,14
HCUV_4040.npy,11
HUSC_4084.npy,10
HUSC_4033.npy,10
HUSC_4024.npy,8
HCUV_2031.npy,6
HUSC_4070.npy,6
HUSC_4023.npy,5
HUSC_4050.npy,5
HCUV_4019.npy,5
HCUV_2038.npy,4
HUSC_4041.npy,4
HUSC_4039.npy,4
HUSC_4030.npy,2
HUSC_4045.npy,1
HUSC_4067.npy,1
HCUV_2013.npy,1
HUSC_4028.npy,1
HUSC_4064.npy,1
